r2,pearson_r,n_pooled_predictions,condition
-2.0041494001997977,-0.21227527100000887,1025,tf_target_baseline_pca
-1.9495202585617233,-0.0931811596415491,1025,tf_target_real
-3.880647119415718,-0.2956462115444331,1025,tf_target_c1_degree_preserving_seed0
-1.9679063505563437,-0.10234725135156696,1025,tf_target_c2_fully_random_seed0
-3.0104197543564837,-0.18037188781959873,1025,tf_target_c1_degree_preserving_seed1
-2.463237523138223,-0.10206202440481367,1025,tf_target_c2_fully_random_seed1
-3.176235700147193,-0.1733251470313418,1025,tf_target_c1_degree_preserving_seed2
-2.4347082092428565,-0.1602044019185963,1025,tf_target_c2_fully_random_seed2
-2.7874219608987243,-0.17930276811394347,1025,tf_target_c1_degree_preserving_seed3
-2.384883362292442,-0.17109469184591697,1025,tf_target_c2_fully_random_seed3
-2.0697247409293675,-0.058330053787657404,1025,tf_target_c1_degree_preserving_seed4
-1.9529264188671993,-0.08531319112887,1025,tf_target_c2_fully_random_seed4
-1.9494376918237584,-0.09322214295074112,1025,tf_target_c3_sign_flipped
-0.640603025497182,-0.4129906174202144,1025,epigenomic_baseline_pca
-0.7619548678078465,-0.32541193953723896,1025,epigenomic_real
-1.7497180538251578,-0.04258364680298004,1025,epigenomic_c1_degree_preserving_seed0
-3.1260548114116675,-0.2074310049094364,1025,epigenomic_c2_fully_random_seed0
-1.3416300728440502,-0.09577157373696125,1025,epigenomic_c1_degree_preserving_seed1
-2.477706093509278,-0.1326397356622108,1025,epigenomic_c2_fully_random_seed1
-1.435957810392416,-0.07900273357693836,1025,epigenomic_c1_degree_preserving_seed2
-2.3615837542987546,-0.13746472125439835,1025,epigenomic_c2_fully_random_seed2
-1.6344626592590346,-0.07880164630047541,1025,epigenomic_c1_degree_preserving_seed3
-2.555729479210363,-0.14054895711651103,1025,epigenomic_c2_fully_random_seed3
-1.1468295748129442,-0.10577398259228883,1025,epigenomic_c1_degree_preserving_seed4
-1.8254502523564935,-0.0794758177492533,1025,epigenomic_c2_fully_random_seed4
-0.5015850222835265,-0.48106603429011807,1025,combined_baseline_pca
-1.6844146860291471,-0.1375914627300294,1025,combined_real
-1.8817691151258398,-0.15343604625219184,1025,combined_c1_degree_preserving_seed0
-2.26277805967425,-0.18628198850118083,1025,combined_c2_fully_random_seed0
-1.3728527014796752,-0.1575961569243165,1025,combined_only_tf_real_seed0
-2.2981060037398806,-0.13747040654939402,1025,combined_only_epi_real_seed0
-1.7266730281955684,-0.21943030370353564,1025,combined_c1_degree_preserving_seed1
-2.545212347392962,-0.187544209478916,1025,combined_c2_fully_random_seed1
-1.4920791317142297,-0.16990524306100707,1025,combined_only_tf_real_seed1
-2.498383920847796,-0.10823072401075855,1025,combined_only_epi_real_seed1
-1.9277773342019038,-0.17321187161010657,1025,combined_c1_degree_preserving_seed2
-2.1912661067109926,-0.1386962253042289,1025,combined_c2_fully_random_seed2
-1.4084998256860666,-0.1733896448384282,1025,combined_only_tf_real_seed2
-2.964839804944648,-0.19019713652084758,1025,combined_only_epi_real_seed2
-1.745339128598852,-0.16111117192671984,1025,combined_c1_degree_preserving_seed3
-2.4435628531524687,-0.20667018805629678,1025,combined_c2_fully_random_seed3
-1.5733670919879459,-0.20185505603184953,1025,combined_only_tf_real_seed3
-1.7705406838111646,-0.18352590757680318,1025,combined_only_epi_real_seed3
-1.4494223290175174,-0.1347632540549534,1025,combined_c1_degree_preserving_seed4
-1.8552501714343408,-0.137737822197513,1025,combined_c2_fully_random_seed4
-1.2344135677454648,-0.12224587990206713,1025,combined_only_tf_real_seed4
-2.3377831420902413,-0.1481015765920526,1025,combined_only_epi_real_seed4
-1.6946606018806674,-0.13687168094810878,1025,combined_c3_sign_flipped
