seed,fold,metric,score,n_test_donors,condition,target,n_test
0,0,accuracy,0.6666666666666666,6.0,tf_target_baseline_pca,disease_status,
0,0,auroc,0.5555555555555556,6.0,tf_target_baseline_pca,disease_status,
0,1,accuracy,0.6666666666666666,6.0,tf_target_baseline_pca,disease_status,
0,1,auroc,0.5555555555555556,6.0,tf_target_baseline_pca,disease_status,
0,2,accuracy,0.5,6.0,tf_target_baseline_pca,disease_status,
0,2,auroc,0.3333333333333333,6.0,tf_target_baseline_pca,disease_status,
0,3,accuracy,0.5,6.0,tf_target_baseline_pca,disease_status,
0,3,auroc,0.22222222222222224,6.0,tf_target_baseline_pca,disease_status,
0,4,accuracy,0.5,6.0,tf_target_baseline_pca,disease_status,
0,4,auroc,0.6666666666666667,6.0,tf_target_baseline_pca,disease_status,
0,5,accuracy,0.6666666666666666,6.0,tf_target_baseline_pca,disease_status,
0,5,auroc,0.7777777777777779,6.0,tf_target_baseline_pca,disease_status,
1,0,accuracy,0.5,6.0,tf_target_baseline_pca,disease_status,
1,0,auroc,0.33333333333333337,6.0,tf_target_baseline_pca,disease_status,
1,1,accuracy,0.3333333333333333,6.0,tf_target_baseline_pca,disease_status,
1,1,auroc,0.0,6.0,tf_target_baseline_pca,disease_status,
1,2,accuracy,0.5,6.0,tf_target_baseline_pca,disease_status,
1,2,auroc,0.22222222222222224,6.0,tf_target_baseline_pca,disease_status,
1,3,accuracy,0.6666666666666666,6.0,tf_target_baseline_pca,disease_status,
1,3,auroc,0.7777777777777778,6.0,tf_target_baseline_pca,disease_status,
1,4,accuracy,0.6666666666666666,6.0,tf_target_baseline_pca,disease_status,
1,4,auroc,0.5555555555555556,6.0,tf_target_baseline_pca,disease_status,
1,5,accuracy,0.3333333333333333,6.0,tf_target_baseline_pca,disease_status,
1,5,auroc,0.4444444444444444,6.0,tf_target_baseline_pca,disease_status,
2,0,accuracy,0.16666666666666666,6.0,tf_target_baseline_pca,disease_status,
2,0,auroc,0.0,6.0,tf_target_baseline_pca,disease_status,
2,1,accuracy,0.6666666666666666,6.0,tf_target_baseline_pca,disease_status,
2,1,auroc,0.6666666666666667,6.0,tf_target_baseline_pca,disease_status,
2,2,accuracy,0.5,6.0,tf_target_baseline_pca,disease_status,
2,2,auroc,0.4444444444444444,6.0,tf_target_baseline_pca,disease_status,
2,3,accuracy,0.8333333333333334,6.0,tf_target_baseline_pca,disease_status,
