permutation,mean_auroc,mean_accuracy,n_folds_scored
0,0.5955938697318006,0.5999999999999999,30
1,0.4014367816091954,0.4277777777777777,30
2,0.5692592592592594,0.5555555555555555,30
3,0.6615900383141763,0.5388888888888889,30
4,0.45185185185185184,0.41666666666666674,30
5,0.4794444444444445,0.4333333333333333,30
6,0.5137962962962964,0.4611111111111111,30
7,0.593452380952381,0.5277777777777778,30
8,0.5637962962962961,0.47777777777777775,30
9,0.5790740740740741,0.5888888888888889,30
10,0.3763409961685824,0.39444444444444454,30
11,0.6217592592592595,0.6333333333333333,30
12,0.5422222222222222,0.4944444444444444,30
13,0.700925925925926,0.611111111111111,30
14,0.7038888888888889,0.6222222222222222,30
15,0.5582375478927204,0.4888888888888889,30
16,0.5209325396825396,0.4222222222222223,30
17,0.5182407407407408,0.4833333333333332,30
18,0.4859259259259259,0.46111111111111114,30
19,0.6999999999999998,0.5666666666666667,30
20,0.4483716475095785,0.4444444444444444,30
21,0.5501851851851851,0.5333333333333333,30
22,0.5527777777777778,0.5444444444444444,30
23,0.5844444444444444,0.5055555555555555,30
24,0.5072222222222222,0.45,30
25,0.610823754789272,0.5055555555555556,30
26,0.5614814814814814,0.5,30
27,0.7243518518518519,0.6166666666666667,30
28,0.6538314176245211,0.6055555555555556,30
29,0.4488888888888889,0.4611111111111111,30
30,0.38531746031746034,0.34444444444444444,30
31,0.6943452380952381,0.6444444444444444,30
32,0.25824074074074077,0.31111111111111106,30
33,0.5548148148148149,0.4944444444444444,30
34,0.5514814814814815,0.5000000000000001,30
35,0.4591954022988506,0.4,30
36,0.5229885057471264,0.47777777777777775,30
37,0.3403769841269841,0.3222222222222222,30
38,0.6042592592592594,0.5166666666666667,30
39,0.44203703703703706,0.47777777777777786,30
40,0.5411111111111112,0.4444444444444444,30
41,0.638888888888889,0.4944444444444444,30
42,0.302281746031746,0.3444444444444444,30
43,0.40181992337164746,0.3555555555555555,30
44,0.4794444444444445,0.4611111111111111,30
45,0.46935185185185185,0.4055555555555556,30
46,0.6196360153256706,0.5000000000000001,30
47,0.5592911877394636,0.5277777777777778,30
48,0.6562260536398469,0.6111111111111112,30
49,0.40574712643678157,0.45555555555555555,30
50,0.428639846743295,0.39999999999999997,30
51,0.3491666666666667,0.38333333333333325,30
52,0.47685185185185186,0.4833333333333333,30
53,0.6159259259259259,0.49999999999999994,30
54,0.5069444444444444,0.4888888888888888,30
55,0.3990740740740741,0.41666666666666674,30
56,0.49969135802469145,0.4722222222222222,30
57,0.5527777777777778,0.5611111111111111,30
58,0.5504629629629629,0.47777777777777775,30
59,0.471455938697318,0.4222222222222223,30
60,0.6492337164750959,0.55,30
61,0.5463888888888888,0.5166666666666667,30
62,0.6323148148148149,0.5444444444444444,30
63,0.4407407407407407,0.4666666666666667,30
64,0.49546296296296294,0.5444444444444444,30
65,0.705925925925926,0.6277777777777778,30
66,0.3272030651340996,0.3166666666666667,30
67,0.5018518518518519,0.5166666666666667,30
68,0.5095370370370371,0.4444444444444445,30
69,0.3616666666666666,0.36666666666666664,30
70,0.7062962962962962,0.55,30
71,0.667337164750958,0.5944444444444446,30
72,0.5868518518518518,0.5777777777777777,30
73,0.5875478927203066,0.4777777777777778,30
74,0.4787037037037037,0.4666666666666667,30
75,0.7146090534979423,0.6833333333333335,30
76,0.2011111111111111,0.31666666666666665,30
77,0.5332407407407407,0.49999999999999994,30
78,0.5313218390804597,0.4666666666666667,30
79,0.2795370370370371,0.27777777777777773,30
80,0.4081481481481482,0.40555555555555556,30
81,0.5966666666666666,0.5166666666666667,30
82,0.537797619047619,0.43333333333333335,30
83,0.5317049808429118,0.4388888888888889,30
84,0.4919444444444444,0.4388888888888889,30
85,0.6052681992337164,0.5944444444444444,30
86,0.7029693486590038,0.5777777777777777,30
87,0.685,0.5722222222222223,30
88,0.5574074074074074,0.4555555555555556,30
89,0.5991379310344828,0.5611111111111111,30
90,0.6489814814814816,0.5111111111111111,30
91,0.3338888888888889,0.3333333333333333,30
92,0.44814814814814813,0.40555555555555556,30
93,0.36148148148148146,0.34444444444444444,30
94,0.5504789272030652,0.4833333333333333,30
95,0.6457854406130269,0.6111111111111112,30
96,0.4676851851851851,0.4777777777777778,30
97,0.272962962962963,0.3555555555555555,30
98,0.5389814814814815,0.4222222222222223,30
99,0.5877394636015327,0.5166666666666667,30
