permutation,mean_auroc,mean_accuracy,n_folds_scored
0,0.5258499998133284,0.5648520084566596,30
1,0.4603052691944472,0.5855003523608174,30
2,0.5047975251675024,0.567935165609584,30
3,0.49777030088530105,0.6027660324171952,30
4,0.4734177318691916,0.5831395348837208,30
5,0.5248236122673607,0.5876497533474278,30
6,0.447712827328678,0.5630725863284002,30
7,0.46089601268001806,0.5970930232558139,30
8,0.5442081443685126,0.6053558844256518,30
9,0.500135001954608,0.5945736434108525,30
10,0.4005462982087703,0.5761451726568005,30
11,0.5139986024665237,0.6051973220577871,30
12,0.508219202558288,0.5815186751233262,30
13,0.4685908300905136,0.5714235377026073,30
14,0.48973686810125566,0.5837561663143058,30
15,0.5197433642713336,0.5892177589852008,30
16,0.4654445673739259,0.5670718816067652,30
17,0.526964012050628,0.591138125440451,30
18,0.3896882812652497,0.560077519379845,30
19,0.48634150855003777,0.5610817477096545,30
20,0.48677327875926957,0.5844432699083861,30
21,0.5276884592663091,0.6006871035940803,30
22,0.47882677275263763,0.5601479915433403,30
23,0.4797026020808786,0.5816948555320649,30
24,0.47827683415460914,0.5815186751233263,30
25,0.48351439191127843,0.599383368569415,30
26,0.5508439394960026,0.5998590556730091,30
27,0.47986327702343207,0.5884425651867512,30
28,0.5283993014564831,0.5946441155743482,30
29,0.4818773164695581,0.6062367864693445,30
30,0.5171054412236442,0.5945031712473573,30
31,0.5506256395607598,0.5885482734319943,30
32,0.4295625712822017,0.5594961240310077,30
33,0.46839838471625794,0.5767089499647639,30
34,0.525414127239174,0.5731324876673712,30
35,0.5196769693294397,0.5914376321353065,30
36,0.4659700255033755,0.5817300916138124,30
37,0.4474738109702769,0.5771141649048626,30
38,0.5359231581229765,0.6082628611698379,30
39,0.5696808555958651,0.6129316420014096,30
40,0.4878956949504703,0.5950669485553206,30
41,0.44532600705821174,0.5640415785764623,30
42,0.44666077701551615,0.5991014799154334,30
43,0.4995864866809754,0.5593904157857648,30
44,0.4625420362473841,0.56092318534179,30
45,0.43404010839497903,0.5619626497533473,30
46,0.4747351687785154,0.5691508104298801,30
47,0.5380784517838572,0.6030655391120505,30
48,0.46904369017226805,0.5708949964763917,30
49,0.515285365828731,0.5869097956307259,30
50,0.5183218574970638,0.5748238195912615,30
51,0.4241130524843809,0.5571881606765328,30
52,0.5056550936775986,0.5915785764622973,30
53,0.4971699594432382,0.5954369274136716,30
54,0.5022315979686001,0.5922480620155037,30
55,0.4940053743103679,0.5794045102184636,30
56,0.41832788789354786,0.5800739957716702,30
57,0.549757908374699,0.5815715292459479,30
58,0.4837248053205109,0.5669309372797745,30
59,0.4655504692993863,0.5755813953488372,30
60,0.44960916915203725,0.5763565891472868,30
61,0.5281761041430479,0.6062367864693445,30
62,0.5595922098327514,0.6120683579985904,30
63,0.4780438053160881,0.5776779422128259,30
64,0.4919129970996771,0.5814834390415787,30
65,0.45168283577084417,0.5729210711768851,30
66,0.5178956934270164,0.5817300916138124,30
67,0.48589479216048637,0.589922480620155,30
68,0.5258502067569877,0.5839323467230443,30
69,0.46294332445847164,0.5869274136715996,30
70,0.45170776581548144,0.5830514446793517,30
71,0.470685247307051,0.5680232558139534,30
72,0.5300316486251646,0.6198555320648342,30
73,0.4063427052962045,0.5489252995066949,30
74,0.5850707675397178,0.6084566596194502,30
75,0.6034426798457739,0.6068710359408034,30
76,0.4673134510363636,0.5877554615926709,30
77,0.4663151701008986,0.5870859760394644,30
78,0.48213074808718925,0.5793340380549683,30
79,0.546353488510319,0.5918957011980267,30
80,0.43465224519505485,0.5616983791402395,30
81,0.5116795597831929,0.5986257928118393,30
82,0.5154886272295806,0.5675651867512334,30
83,0.45256316235109006,0.5703312191684285,30
84,0.4951102872718622,0.576215644820296,30
85,0.47717224451711004,0.5792988019732205,30
86,0.4999752207095935,0.5892353770260746,30
87,0.5116628078345775,0.6220754052149402,30
88,0.5326081013457424,0.598291050035236,30
89,0.4728863728803414,0.5809020436927415,30
90,0.5368021390342154,0.6091261451726566,30
91,0.5029263870097709,0.596863988724454,30
92,0.48121655912204453,0.5547921071176884,30
93,0.5019876663616432,0.6001761804087383,30
94,0.4810986659195547,0.5441860465116279,30
95,0.4880930598346757,0.5702078928823116,30
96,0.4728856055076979,0.5638653981677236,30
97,0.4953610701085817,0.5908210007047217,30
98,0.4705452630573647,0.5839852008456659,30
99,0.5228988946452183,0.6039112050739956,30
