prior,comparison,n_paired_splits,mean_a,mean_b,mean_diff,diff_std,wilcoxon_stat,wilcoxon_p,ttest_stat,ttest_p,bonferroni_alpha,significant_wilcoxon,significant_ttest,accuracy_a,accuracy_b,permutation_percentile_real,permutation_percentile_baseline_pca
tf_target,tf_target: real vs baseline_pca,30,0.5296296296296297,0.48518518518518516,0.04444444444444443,0.21162470295302824,89.5,0.22852476588532356,1.1503016631952718,0.25941713380828385,0.0125,False,False,0.5055555555555554,0.5444444444444444,52.0,37.0
tf_target,tf_target: real vs C1 degree-preserving (pooled 5 seeds),30,0.5296296296296297,0.4888888888888889,0.040740740740740744,0.18973965119302744,174.0,0.3465243582441755,1.1760653386293067,0.24913327051689493,0.0125,False,False,0.5055555555555554,0.49111111111111094,52.0,37.0
tf_target,tf_target: real vs C2 fully random (pooled 5 seeds),30,0.5296296296296297,0.4518518518518519,0.07777777777777779,0.19580530899179985,132.5,0.039665574784058424,2.175663345435491,0.037873430198562104,0.0125,False,False,0.5055555555555554,0.4655555555555556,52.0,37.0
tf_target,tf_target: real vs C3 sign-flipped,30,0.5296296296296297,0.5296296296296297,0.0,0.0,0.0,,,,0.0125,False,False,0.5055555555555554,0.5055555555555554,52.0,37.0
epigenomic,epigenomic: real vs baseline_pca,30,0.5296296296296297,0.45925925925925937,0.07037037037037037,0.2073230078232223,132.5,0.0654731494730393,1.8591009090852948,0.07318738550476937,0.016666666666666666,False,False,0.5000000000000001,0.47777777777777775,53.0,26.0
epigenomic,epigenomic: real vs C1 degree-preserving (pooled 5 seeds),30,0.5296296296296297,0.425925925925926,0.10370370370370369,0.2213264192347679,115.5,0.02737372131871242,2.566383986680781,0.01570495239565118,0.016666666666666666,False,True,0.5000000000000001,0.44333333333333336,53.0,26.0
epigenomic,epigenomic: real vs C2 fully random (pooled 5 seeds),30,0.5296296296296297,0.48814814814814816,0.041481481481481494,0.20803226436513791,163.5,0.36837067333967966,1.0921547768312285,0.28375555707797695,0.016666666666666666,False,False,0.5000000000000001,0.5155555555555555,53.0,26.0
combined,combined: real vs baseline_pca,30,0.5148148148148148,0.4481481481481483,0.06666666666666667,0.22901495616880482,111.0,0.10089037801682248,1.5944302406213298,0.12168183197008194,0.008333333333333333,False,False,0.5333333333333332,0.4611111111111111,46.0,27.0
combined,combined: real vs joint C1 degree-preserving (pooled 5 seeds),30,0.5148148148148148,0.4296296296296297,0.08518518518518518,0.2091221761913271,121.0,0.06179817682323268,2.2311286321204538,0.03356784960543204,0.008333333333333333,False,False,0.5333333333333332,0.44444444444444436,46.0,27.0
combined,combined: real vs joint C2 fully random (pooled 5 seeds),30,0.5148148148148148,0.48148148148148157,0.033333333333333326,0.2043169684204032,182.5,0.30366421449596315,0.8935830794992521,0.3789010640565528,0.008333333333333333,False,False,0.5333333333333332,0.49555555555555564,46.0,27.0
combined,combined: real vs joint C3 sign-flipped (TF block),30,0.5148148148148148,0.5148148148148148,1.8503717077085942e-18,0.02917920730216056,1.0,0.6547208460185769,3.47333055893643e-16,0.9999999999999998,0.008333333333333333,False,False,0.5333333333333332,0.5333333333333332,46.0,27.0
combined,combined: real vs tf_target_real (single prior),30,0.5148148148148148,0.5296296296296297,-0.01481481481481482,0.1669431508312911,114.0,0.683609590038996,-0.4860581712355502,0.6305786429724533,0.008333333333333333,False,False,0.5333333333333332,0.5055555555555554,46.0,27.0
combined,combined: real vs epigenomic_real (single prior),30,0.5148148148148148,0.5296296296296297,-0.014814814814814828,0.1816000342570837,118.5,0.5518755554430627,-0.44682856435195195,0.6583180875615164,0.008333333333333333,False,False,0.5333333333333332,0.5000000000000001,46.0,27.0
